date,Hour,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name
1/2/2014,8,0.0,0.67,0.4,2.0,0.0,0.0,0.0,1.0,2014,1,Thursday
1/2/2014,9,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,10,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,11,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,12,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,13,0.0,1.0,2.0,20.4,0.0,0.0,0.0,1.0,2014,1,Thursday
1/2/2014,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/2/2014,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Thursday
1/3/2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,10,1.0,2.0,0.0,4.1,2.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,11,4.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,12,0.0,0.0,0.4,10.4,4.0,0.0,10.0,1.0,2014,1,Friday
1/3/2014,13,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,14,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2014,1,Friday
1/3/2014,15,1.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,2014,1,Friday
1/3/2014,16,0.0,1.0,0.0,4.2,0.0,0.0,2.0,0.0,2014,1,Friday
1/3/2014,17,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2014,1,Friday
1/3/2014,18,0.0,0.0,1.0,0.3,2.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,19,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2014,1,Friday
1/3/2014,20,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/3/2014,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Friday
1/4/2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
